post_id,post_name,post_author,post_date,post_type,post_status,item_id,post_title,post_content,post_category,post_tags,hao_yuanj,hao_youh,hao_xianj,hao_xiaol,hao_zongl,hao_zhutu,hao_ljgm,hao_leix,kouling,
,,,,post,publish,544334470579,蓝果萌萌猫笔袋女可爱铅笔袋韩国创意学生文具收纳袋简约萌铅笔盒,满14元减5元,数码家电,auto,14.90,5,9.9,774,10000,http://img.alicdn.com/bao/uploaded/i3/TB1.PQhSXXXXXcgaXXXXXXXXXXX_!!0-item_pic.jpg,https://uland.taobao.com/coupon/edetail?e=8kAasggfk%2FcN%2BoQUE6FNzD%2FIVJnwr3XmJ8I4kT0WNq1aYBW0e1yb1ffiXcqNMyU%2F6GABTtqrYawLk3a8R0wwmRpywujSvOp2nUIklpPPqYLMMIzWTbYlyOHx8W0GmSYGld9njXV37kH%2FnQYm%2F8xmghCZqN23ZS1U&pid=mm_14661123_33544947_119412095&af=1,天猫,,
,,,,post,publish,530578540602,2017夏季韩版新款修身显瘦棉短裙女百搭a字短裙蓬蓬裙,满19元减10元,女装,auto,19.90,10,9.9,490,9999,http://img.alicdn.com/bao/uploaded/i4/2280143335/TB2TkpvkXXXXXbxXXXXXXXXXXXX_!!2280143335.jpg,https://uland.taobao.com/coupon/edetail?e=Eb0MYMWRAG0N%2BoQUE6FNzD%2FIVJnwr3XmJ8I4kT0WNq1aYBW0e1yb1ffiXcqNMyU%2FFAXHg5uz1MRZBzXI0RqrDBpywujSvOp2nUIklpPPqYKx9VmxSULu5COiA0PQ68ypNSKOplxy0%2Fvsej1HBciVFPiBoQe%2BDocv&pid=mm_14661123_33544947_119412095&af=1,淘宝,,
,,,,post,publish,542194038414,魔方项链女锁骨短款项链925银魔方吊坠日韩配饰蓝色精美饰品,满128元减100元,箱包配饰,auto,129.00,100,29,1768,2000,http://img.alicdn.com/bao/uploaded/i3/TB1GQatOVXXXXaAaXXXXXXXXXXX_!!0-item_pic.jpg,https://uland.taobao.com/coupon/edetail?e=APXINfRL5mYN%2BoQUE6FNzD%2FIVJnwr3XmJ8I4kT0WNq1aYBW0e1yb1ffiXcqNMyU%2FcgOPNI0GOcjbNVAUoWWseBpywujSvOp2nUIklpPPqYKMv1E%2BkLAYOGB6HrwqWOzZl3oLxrJGGxEBJULxVKFl9i0pSEvmv7pj&pid=mm_14661123_33544947_119412095&af=1,天猫,,
,,,,post,publish,547419886875,汽车香水车载座式香水座除异味车用车内如意葫芦饰品摆件用品,满30元减20元,汽车用品,auto,38.00,20,18,8574,50000,http://img.alicdn.com/bao/uploaded/i3/TB1YUeqQVXXXXaMXVXXXXXXXXXX_!!0-item_pic.jpg,https://uland.taobao.com/coupon/edetail?e=7LbI3rk6gG4N%2BoQUE6FNzD%2FIVJnwr3XmJ8I4kT0WNq1aYBW0e1yb1ffiXcqNMyU%2F4ka7D9eY3S68tlihQZU91BpywujSvOp2nUIklpPPqYIOV0e6WUryTQxuYeUhennuWnYPIs08u3ywphOd1SKqE5OBq4XCBXHt&pid=mm_14661123_33544947_119412095&af=1,天猫,,
,,,,post,publish,522196544725,烙色口红持久保湿不脱色滋润防水豆沙色润唇膏咬唇学生唇彩非韩国,满29元减10元,化妆品,auto,29.90,10,19.9,120871,20000,http://img.alicdn.com/bao/uploaded/i2/TB1DKfORpXXXXaIXXXXXXXXXXXX_!!0-item_pic.jpg,https://uland.taobao.com/coupon/edetail?e=XK9KeSlGhTwN%2BoQUE6FNzD%2FIVJnwr3XmJ8I4kT0WNq1aYBW0e1yb1ffiXcqNMyU%2FBODzN3uunRtaMcEBXQQeUxpywujSvOp2nUIklpPPqYJ2Tc8ZTxVsnVkBQeupTJ0W%2F4POstAwFe10qlG0itAmxxo%2FuhNNqCgs&pid=mm_14661123_33544947_119412095&af=1,天猫,,
,,,,post,publish,525694095950,WRZ X6重低音电脑手机苹果通用男女耳塞挂耳式运动入耳式耳机耳麦,满30元减25元,数码家电,auto,30.90,25,5.9,268392,100000,http://img.alicdn.com/bao/uploaded/i4/TB11pzGPpXXXXXoXFXXXXXXXXXX_!!0-item_pic.jpg,https://uland.taobao.com/coupon/edetail?e=lEayuLP%2Bqi0N%2BoQUE6FNzD%2FIVJnwr3XmJ8I4kT0WNq1aYBW0e1yb1ffiXcqNMyU%2FOhm8Zdd1vh9hQUC2F6Pl4xpywujSvOp2nUIklpPPqYKIrKrZqTLif8o6wIc%2Fj6JOtg0rEan7kJBEz03QCTBsHMFQomv0TjxM&pid=mm_14661123_33544947_119412095&af=1,天猫,,
,,,,post,publish,552723556836,碧素堂水果面膜30片组合装 补水保湿清洁毛孔控油紧致肌肤正品女,满29元减3元,化妆品,auto,29.99,3,26.99,162,100000,http://img.alicdn.com/bao/uploaded/i3/TB1OvSqRFXXXXXLapXXXXXXXXXX_!!0-item_pic.jpg,https://uland.taobao.com/coupon/edetail?e=bq6Taaifx0cN%2BoQUE6FNzD%2FIVJnwr3XmJ8I4kT0WNq1aYBW0e1yb1ffiXcqNMyU%2FRBmxAXGHcs%2BCikXMWu5PpRpywujSvOp2nUIklpPPqYKIYkQW3nPqF95Xgb%2BnlPtJDUthH4pgNHXwhbiFz1E1HluHseZAGTN3&pid=mm_14661123_33544947_119412095&af=1,天猫,,
,,,,post,publish,553856671968,苹果夏季男鞋新款男士运动鞋男透气网鞋网面跑步鞋休闲板鞋子男潮,满139元减80元,男装,auto,139.00,80,59,6938,20000,http://img.alicdn.com/bao/uploaded/i6/TB1lTWRRVXXXXaDXXXXYXGcGpXX_M2.SS2,https://uland.taobao.com/coupon/edetail?e=ukly%2FcJwQqEN%2BoQUE6FNzD%2FIVJnwr3XmJ8I4kT0WNq1aYBW0e1yb1ffiXcqNMyU%2F0%2B%2BPKYKVpXv3LF9GRKeKLhpywujSvOp2nUIklpPPqYLBUgAPMaPvLad7FxYaMSEa4HpeCwW5zrjbsxRm5dFBOCYfH6PuLAuf&pid=mm_14661123_33544947_119412095&af=1,天猫,,
,,,,post,publish,534592855625,莎琪儿夏季少女内衣套装性感聚拢黑色小胸罩法式蕾丝半杯文胸薄款,满45元减5元,女装,auto,55.90,5,50.9,2956,10000,http://img.alicdn.com/bao/uploaded/i3/685053678/TB2nIJ2vB0kpuFjSsziXXa.oVXa_!!685053678.jpg,https://uland.taobao.com/coupon/edetail?e=xNcHWzZjX60N%2BoQUE6FNzD%2FIVJnwr3XmJ8I4kT0WNq1aYBW0e1yb1ffiXcqNMyU%2FZgLuGtnVzvQnIJYOXRgmSxpywujSvOp2nUIklpPPqYK3O2wEe5kr31%2F5CFLbGT8iHbS09VWOH0IdNpZrNVSYDp0Byl%2BCH3sT&pid=mm_14661123_33544947_119412095&af=1,淘宝,,
,,,,post,publish,16282962475,博倩发胶快速定型蓬松男啫喱水膏干胶清香头发造型喷雾女发泥发蜡,满25元减20元,化妆品,auto,25.80,20,5.8,125945,10000,http://img.alicdn.com/bao/uploaded/i2/TB1tGvMOpXXXXa5XFXXXXXXXXXX_!!0-item_pic.jpg,https://uland.taobao.com/coupon/edetail?e=yO2MnhVWA5kN%2BoQUE6FNzD%2FIVJnwr3XmJ8I4kT0WNq1aYBW0e1yb1ffiXcqNMyU%2FEw1dNjJs5JPmZCoslt9jqR0HgBdG%2FDDL%2F1M%2FBw7Sf%2Fd56%2B4Zkb8MECGa4qaJc7huTYmuX%2Bi14%2FvvrrhPNPVRDLXWBYGAzzGO&pid=mm_14661123_33544947_119412095&af=1,天猫,,
